activity_id,date
136176596,7/16/2011
549746013,4/18/2016
549839170,4/18/2016
550942056,4/19/2016
552058888,4/20/2016
552824937,4/21/2016
553170911,4/21/2016
553717558,4/22/2016
554167393,4/22/2016
554870221,4/23/2016
555495997,4/23/2016
556779379,4/25/2016
557061192,4/25/2016
557928992,4/26/2016
558878122,4/27/2016
559710993,4/28/2016
560475412,4/29/2016
560501079,4/29/2016
561565208,4/30/2016
562722612,5/1/2016
563664765,5/2/2016
564713272,5/3/2016
565769460,5/4/2016
566836128,5/5/2016
567833618,5/6/2016
568999093,5/7/2016
570285554,5/8/2016
570286219,5/4/2016
571264489,5/9/2016
572270368,5/10/2016
573327768,5/11/2016
574003838,5/12/2016
574423784,5/12/2016
575257198,5/13/2016
576362440,5/14/2016
577594163,5/15/2016
578630766,5/16/2016
579697044,5/17/2016
581751057,5/19/2016
581877347,5/18/2016
582668939,5/20/2016
583789604,5/21/2016
585089233,5/22/2016
586047337,5/23/2016
587163607,5/24/2016
588272584,5/25/2016
589663516,5/26/2016
590278070,5/27/2016
591427762,5/28/2016
592587643,5/29/2016
593574086,5/30/2016
594163078,5/31/2016
594821322,5/31/2016
595735969,6/1/2016
595736062,6/1/2016
595736312,6/1/2016
596576931,6/2/2016
598090369,6/3/2016
598092243,6/3/2016
598810928,6/4/2016
600083459,6/5/2016
601072566,6/6/2016
602281049,6/7/2016
603407452,6/8/2016
604472947,6/9/2016
605395148,6/10/2016
606536940,6/11/2016
607762635,6/12/2016
608637718,6/13/2016
609381310,6/14/2016
610226724,6/14/2016
611147383,6/15/2016
611601462,6/16/2016
